ncol,nrow,population,allroads,mainroads,secroads,industries,traffic_points
40.0,1.0,2815.0,0.0,0.0,0.0,0.0,0.0
41.0,1.0,111.0,0.0,0.0,0.0,0.0,0.0
42.0,1.0,144.0,0.0,0.0,0.0,0.0,0.0
43.0,1.0,2492.0,0.0,0.0,0.0,0.0,0.0
44.0,1.0,550.0,0.0,0.7,0.0,0.0,2.0
45.0,1.0,343.0,1.1,0.8,0.0,0.0,0.0
46.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0
47.0,1.0,142.0,0.0,0.0,0.0,0.0,0.0
48.0,1.0,181.0,0.0,0.0,0.0,0.0,0.0
49.0,1.0,555.0,0.0,1.3,0.0,0.0,0.0
50.0,1.0,111.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,63.0,0.0,0.0,0.0,0.0,1.0
2.0,2.0,124.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,184.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,77.0,0.0,0.0,0.0,0.0,0.0
5.0,2.0,860.0,0.0,1.5,0.0,0.0,0.0
6.0,2.0,5364.0,0.0,1.1,0.0,0.5,7.0
7.0,2.0,562.0,0.0,0.0,0.0,0.0,2.0
8.0,2.0,1476.0,0.0,1.0,0.0,0.0,2.0
9.0,2.0,238.0,0.0,0.3,0.0,0.0,0.0
10.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0
12.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0
13.0,2.0,134.0,0.0,0.0,0.0,0.0,0.0
14.0,2.0,127.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,349.0,0.0,0.0,0.0,0.0,0.0
16.0,2.0,323.0,0.0,1.6,0.0,0.0,0.0
17.0,2.0,144.0,0.0,1.1,0.0,0.0,1.0
18.0,2.0,219.0,0.0,1.1,0.0,0.0,1.0
19.0,2.0,359.0,0.0,1.3,0.0,0.0,0.0
20.0,2.0,141.0,0.0,0.0,0.0,0.0,0.0
21.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0
22.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0
23.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0
24.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0
25.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0
26.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0
27.0,2.0,103.0,0.0,0.0,0.0,0.0,0.0
28.0,2.0,892.0,0.0,0.0,0.0,0.0,0.0
